VR_NUMBER,LATITUDE,LONGITUDE,POSITION_UTC_DATE
107218,44.646665999999996,-65.754166,2018-05-25 06:46:29
160781,47.209500000000006,-60.95,2018-05-25 06:48:22
105545,43.8155,-66.1515,2018-05-25 06:49:00
158986,46.873039999999996,-62.974669999999996,2018-05-25 06:50:05
107814,43.396665999999996,-65.2425,2018-05-25 06:50:22
176301,47.155319999999996,-61.88184,2018-05-25 06:50:40
105625,45.501943999999995,-60.963333,2018-05-25 06:51:06
107948,45.503054999999996,-60.958332999999996,2018-05-25 06:52:12
104992,44.473887999999995,-63.596388,2018-05-25 06:52:28
101440,44.664443999999996,-65.75500000000001,2018-05-25 06:52:30
107949,43.7,-65.107222,2018-05-25 06:52:57
105701,44.6285,-66.724,2018-05-25 06:53:00
160781,47.222300000000004,-60.9483,2018-05-25 06:53:28
176301,47.15694,-61.866719999999994,2018-05-25 06:54:56
3818,44.6375,-65.74600000000001,2018-05-25 06:55:00
158986,46.873039999999996,-62.974669999999996,2018-05-25 06:55:05
106256,45.919722,-59.9675,2018-05-25 06:55:11
104602,45.506111,-60.961388,2018-05-25 06:56:04
105907,43.6169,-65.7865,2018-05-25 06:57:36
107838,45.9174,-59.9711,2018-05-25 06:57:48
101069,44.195,-66.1665,2018-05-25 06:58:00
106654,44.638667,-65.75200000000001,2018-05-25 06:58:00
106891,45.055,-66.794722,2018-05-25 06:58:11
160781,47.234700000000004,-60.947100000000006,2018-05-25 06:58:27
107174,45.711192,-60.233402999999996,2018-05-25 06:59:58
106408,45.897873999999995,-59.955054,2018-05-25 06:59:58
105912,42.08171,-66.68130000000001,2018-05-25 07:00:00
106605,42.084179999999996,-66.62943,2018-05-25 07:00:00
106604,42.115939999999995,-66.90539,2018-05-25 07:00:00
158555,42.811659999999996,-67.631322,2018-05-25 07:00:00
104984,43.40712,-67.35283,2018-05-25 07:00:00
107314,43.50201,-65.21564,2018-05-25 07:00:00
107314,43.50205,-65.21560000000001,2018-05-25 07:00:00
105303,43.525600000000004,-66.00568799999999,2018-05-25 07:00:00
101873,43.578,-65.8155,2018-05-25 07:00:00
105099,43.6165,-65.787,2018-05-25 07:00:00
101395,43.617000000000004,-65.7865,2018-05-25 07:00:00
157272,43.6175,-65.7865,2018-05-25 07:00:00
101962,43.6175,-65.7865,2018-05-25 07:00:00
104889,43.630055999999996,-65.769826,2018-05-25 07:00:00
101019,43.744189999999996,-65.31775999999999,2018-05-25 07:00:00
107003,44.041613999999996,-64.712563,2018-05-25 07:00:00
